Rk,Player,Salary,Conference,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
91,Wendell Carter Jr.,5448840,E,C,21,CHI,32,25,24.8,4,7.9,0.512,0.3,0.7,0.364,3.8,7.2,0.526,0.528,2.6,3.5,0.739,2.2,5.6,7.8,2.2,0.6,0.8,1.5,3,10.9
91,Wendell Carter Jr.,5448840,E,C,21,ORL,7,4,26.7,5.4,9.6,0.567,0.3,1.4,0.2,5.1,8.1,0.632,0.582,2.9,3.7,0.769,2.9,5.7,8.6,1.6,0.9,1.1,1.6,2.1,14
92,Michael Carter-Williams,3000000,E,SG,29,ORL,28,22,26,3.4,8.7,0.387,0.5,1.9,0.269,2.9,6.8,0.419,0.416,1.6,2.4,0.662,1.3,3.2,4.5,4.4,0.8,0.5,2.3,2.8,8.8
93,Alex Caruso,2750000,W,PG,26,LAL,43,0,20.5,2,4.9,0.421,1,2.3,0.418,1.1,2.6,0.423,0.519,0.8,1.2,0.642,0.5,2.5,3,2.5,1.2,0.2,1.2,1.8,5.8
94,Willie Cauley-Stein,4000000,W,C,27,DAL,35,11,17.1,2.3,3.6,0.622,0,0.2,0.125,2.2,3.4,0.655,0.626,0.9,1.4,0.66,1.1,3.1,4.3,0.7,0.3,0.8,0.5,2.3,5.5
96,Marquese Chriss,1824003,W,PF,23,GSW,2,0,13.5,2.5,7,0.357,0.5,2.5,0.2,2,4.5,0.444,0.393,1,2,0.5,1.5,5,6.5,1,0,1,1,1.5,6.5
97,Gary Clark,2000000,W,F,26,DEN,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0,0
97,Gary Clark,2000000,E,SF,26,ORL,35,11,18.2,1.1,3.7,0.305,0.9,3.1,0.287,0.3,0.7,0.391,0.424,0.2,0.3,0.8,0.9,2.3,3.2,0.9,0.3,0.2,0.5,1,3.4
98,Brandon Clarke,2602920,W,PF,24,MEM,42,16,25.6,4.8,9.2,0.522,0.5,1.4,0.317,4.4,7.8,0.56,0.547,1.5,2.1,0.685,1.5,3.9,5.5,1.7,1.1,0.8,0.6,1.5,11.5
99,Jordan Clarkson,11500000,W,SG,28,UTA,51,0,25.4,6.2,14.8,0.422,3,8.6,0.349,3.2,6.1,0.524,0.524,1.7,1.7,0.955,0.8,3.2,3.9,2.2,0.9,0.2,1.7,1.5,17.2
100,Nicolas Claxton,1517981,E,C,21,BRK,21,0,17.8,3,5.2,0.587,0,0.2,0.25,3,5,0.6,0.592,1,2,0.512,1.4,3.2,4.7,1,0.6,1.3,0.6,2,7.2
102,John Collins,4137302,E,PF,23,ATL,47,47,30.3,7.1,13,0.545,1.3,3.4,0.38,5.8,9.6,0.603,0.594,2.7,3.3,0.838,2.1,5.7,7.8,1.4,0.5,1,1.2,3.2,18.2
103,Mike Conley,34504132,W,PG,33,UTA,43,43,29.7,5.7,12.7,0.452,2.8,6.7,0.414,2.9,5.9,0.496,0.563,2.3,2.7,0.855,0.8,2.7,3.5,5.4,1.3,0.1,1.9,1.9,16.6
104,Pat Connaughton,4938272,E,SG,28,MIL,49,2,23.2,2.4,5.5,0.437,1.4,3.6,0.376,1,1.8,0.556,0.562,0.5,0.7,0.735,1,3.8,4.8,1.3,0.7,0.4,0.4,1.5,6.7
105,Quinn Cook,1797183,E,PG,27,CLE,7,0,13.6,2.4,6,0.405,0.9,1.9,0.462,1.6,4.1,0.379,0.476,0.4,0.4,1,0.3,1.4,1.7,1.9,0.4,0,0.6,1.1,6.1
105,Quinn Cook,1797183,W,PG,27,LAL,16,0,3.9,0.8,1.6,0.462,0.3,0.8,0.385,0.4,0.8,0.538,0.558,0.3,0.3,0.8,0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1
107,DeMarcus Cousins,2331593,W,C,30,HOU,25,11,20.2,3.2,8.4,0.376,1.6,4.6,0.336,1.6,3.8,0.426,0.469,1.8,2.4,0.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3,9.6
107,DeMarcus Cousins,2331593,W,C-F,30,LAC,2,0,6.5,2,3,0.667,0.5,0.5,1,1.5,2.5,0.6,0.75,0.5,2,0.25,1,2,3,1,0.5,0,2,2,5
108,Robert Covington,12138345,W,PF,30,POR,50,50,32.2,3.2,7.6,0.416,2.1,5.4,0.393,1,2.2,0.473,0.555,0.7,0.8,0.805,0.8,5.8,6.7,1.6,1.6,1.3,1.1,2.7,9.1
109,Torrey Craig,1678854,E,SF,30,MIL,18,0,11.2,1,2.6,0.391,0.4,1.2,0.364,0.6,1.3,0.417,0.478,0.1,0.1,0.5,0.7,1.7,2.4,0.9,0.5,0.4,0.3,1.3,2.5
109,Torrey Craig,1678854,W,SF,30,PHO,12,0,15.9,2.4,4.7,0.518,0.8,1.9,0.391,1.7,2.8,0.606,0.598,0.3,0.5,0.5,1,2.9,3.9,1,0.8,0.4,0.5,1.8,5.8
110,Jae Crowder,9258000,W,PF,30,PHO,49,34,27.9,3.3,8.2,0.405,2.4,6.2,0.383,0.9,2,0.474,0.55,1,1.3,0.79,0.5,4.4,4.9,2.1,0.8,0.4,0.9,1.9,10
111,Jarrett Culver,6104280,W,SG,21,MIN,30,7,15.6,2.2,5.2,0.414,0.4,1.5,0.244,1.8,3.7,0.482,0.449,0.9,1.5,0.609,1.1,2.2,3.4,0.7,0.5,0.3,0.9,1.9,5.6
112,Seth Curry,7813953,E,SG,30,PHI,42,42,29.1,4.5,10,0.447,2,4.9,0.407,2.5,5.1,0.486,0.547,1.4,1.6,0.894,0.2,2,2.2,2.9,0.8,0.2,1.3,1.7,12.3
113,Stephen Curry,43006362,W,PG,32,GSW,45,45,33.9,9.9,20.5,0.483,4.8,11.6,0.412,5.1,8.9,0.575,0.599,5.4,5.8,0.924,0.5,5,5.5,6,1.3,0.1,3.2,1.8,29.9
115,Anthony Davis,32742000,W,PF,27,LAL,23,23,32.8,8.9,16.7,0.533,0.7,2.5,0.293,8.1,14.1,0.575,0.555,4,5.7,0.715,2,6.3,8.4,3,1.3,1.8,2,1.8,22.5
116,Ed Davis,5005350,W,C,31,MIN,19,7,13.9,0.9,2.3,0.419,0,0,,0.9,2.3,0.419,0.419,0.4,0.4,0.875,2,3.1,5.1,1,0.5,0.5,0.3,2.6,2.3
117,Terence Davis,1517981,W,SG,23,SAC,8,0,18.6,2.9,7.4,0.39,1.8,5.4,0.326,1.1,2,0.563,0.508,0.6,0.9,0.714,0.1,2.1,2.3,1.4,0.9,0.4,1,1.5,8.1
117,Terence Davis,1517981,E,SG,23,TOR,34,4,14.5,2.6,6.2,0.414,1.3,3.6,0.361,1.3,2.6,0.489,0.519,0.5,0.5,0.889,0.3,1.7,1.9,1.1,0.5,0.2,0.9,1.4,6.9
118,Matthew Dellavedova,2174318,E,PG,30,CLE,5,0,17.4,1,4.2,0.238,0.2,1.6,0.125,0.8,2.6,0.308,0.262,0.4,0.4,1,0.8,1.6,2.4,4.4,0.2,0,0.4,1,2.6
